Subdirectory,Filename,Hemisphere
CIVETNMT,tpl-CIVETNMTmc_den-41k_hemi-R_white.surf.gii,hemi-R
CIVETNMT,tpl-CIVETNMTmc_den-41k_hemi-R_mid.surf.gii,hemi-L
CIVETNMT,tpl-CIVETNMTmc_den-41k_hemi-L_mid.surf.gii,hemi-L
CIVETNMT,tpl-CIVETNMTmc_den-41k_hemi-R_sphere.surf.gii,hemi-R
CIVETNMT,tpl-CIVETNMTmc_den-41k_hemi-L_white.surf.gii,hemi-L
CIVETNMT,tpl-CIVETNMTmc_den-41k_hemi-L_sphere.surf.gii,hemi-L
MEBRAINS,tpl-MEBRAINS_den-101k_hemi-R_smoothwm_inflated.surf.gii,hemi-R
MEBRAINS,tpl-MEBRAINS_den-101k_hemi-R_smoothwm_sphere.surf.gii,hemi-R
MEBRAINS,tpl-MEBRAINS_den-101k_hemi-L_smoothwm.sphere.surf.gii,hemi-L
MEBRAINS,tpl-MEBRAINS_den-101k_hemi-L_mid.surf.gii,hemi-L
MEBRAINS,tpl-MEBRAINS_den-101k_hemi-R_mid.surf.gii,hemi-R
MEBRAINS,tpl-MEBRAINS_den-101k_hemi-L_smoothwm_inflated.surf.gii,hemi-L
D99,tpl-D99template_den-41k_right.hemi-R_mid.surf.gii,hemi-R
D99,tpl-D99template_den-41k_hemi-R_sphere.surf.gii,hemi-R
D99,tpl-D99template_den-41k_hemi-L_white.surf.gii,hemi-L
D99,tpl-D99template_den-41k_hemi-L_gray.surf.gii,hemi-L
D99,tpl-D99template_den-41k_hemi-R_gray..surf.gii,hemi-R
D99,tpl-D99template_den-41k_hemi-L_sphere.surf.gii,hemi-L
D99,tpl-D99template_den-41k_hemi-R_white.surf.gii,hemi-R
D99,tpl-D99template_den-41k_hemi-L_mid.surf.gii,hemi-L
NMT2,tpl-NMT2rsl_den-41k_hemi-R_white.surf.gii,hemi-R
NMT2,tpl-NMT2rsl_den-41k_hemi-R_mid_inflated.surf.gii,hemi-R
NMT2,tpl-NMT2rsl_den-41k_hemi-R_mid_sphere.surf.gii,hemi-R
NMT2,tpl-NMT2rsl_den-41k_hemi-R_mid.surf.gii,hemi-R
NMT2,tpl-NMT2rsl_den-41k_hemi-L_mid_sphere.surf.gii,hemi-R
NMT2,tpl-NMT2rsl_den-41k_hemi-L_gray.surf.gii,hemi-L
NMT2,tpl-NMT2rsl_den-41k_hemi-L_mid.surf.gii,hemi-L
NMT2,tpl-NMT2rsl_den-41k_hemi-L_white.surf.gii,hemi-L
NMT2,tpl-NMT2rsl_den-41k_hemi-R_gray.surf.gii,hemi-R
NMT2,tpl-NMT2rsl_den-41k_hemi-L_mid_inflated.surf.gii,hemi-L
Yerkes19,tpl-Yerkes19fslr_den-32k_hemi-L_midthickness.surf.gii,hemi-L
Yerkes19,tpl-Yerkes19fslr_den-10k_hemi-L_midthickness.surf.gii,hemi-L
Yerkes19,tpl-Yerkes19fslr_den-10k_hemi-R._midthickness.surf.gii,hemi-R
Yerkes19,tpl-Yerkes19fslr_den-32k_hemi-L_sphere_implicit.surf.gii,hemi-L
Yerkes19,tpl-Yerkes19fslr_den-32k_hemi-R_sphere.surf.gii,hemi-R
Yerkes19,tpl-Yerkes19fslr_den-32k_hemi-R_pial.surf.gii,hemi-R
Yerkes19,tpl-Yerkes19fslr_den-32k_hemi-R_white.surf.gii,hemi-R
Yerkes19,tpl-Yerkes19fslr_den-32k_hemi-R_sphere_implicit.surf.gii,hemi-R
Yerkes19,tpl-Yerkes19fslr_den-32k_hemi-L_sphere.surf.gii,hemi-L
Yerkes19,tpl-Yerkes19fslr_den-32k_hemi-L_white.surf.gii,hemi-L
Yerkes19,tpl-Yerkes19fslr_den-32k_hemi-L_pial.surf.gii,hemi-L
Yerkes19,tpl-Yerkes19fslr_den-32k_hemi-R_midthickness.surf.gii,hemi-R
